Designator,Mid X,Mid Y,Rotation,Layer
D1,108.98,-68.006384,270.0,top
D10,123.825,-73.025,0.0,bottom
D2,105.48,-68.006384,270.0,top
D3,94.98,-68.006384,270.0,top
D4,101.98,-68.006384,270.0,top
D5,98.48,-68.006384,270.0,top
D6,91.4775,-68.006385,270.0,top
D8,114.25,-73.02,90.0,top
D9,142.875,-73.04,0.0,bottom
J1,132.375,-44.63,180.0,top
S1,123.825,-61.41,0.0,top
S2,142.875,-61.41,0.0,top
S3,161.925,-80.46,0.0,top
S4,123.825,-80.46,0.0,top
S5,142.875,-80.46,0.0,top
SW1,161.91,-63.5,0.0,top
U1,100.375,-49.31,0.0,top
